Anio,Trimestre,Empresa,NombreCorto,NombreLargo,SIC,NAICS,Activos,Inventarios,PasivoCirc,PasivoLP,PPE,CPP,Efectivo,GC,CBV,UOAD,Ventas,IGR,Deuda,CPC,GO,GVGA,Precio_Accion,mkt_capital,No_Acciones
2016,1,"ACCEL, S.A.B. DE C.V.",ACCEL,ACCEL,2000,311,4028.108,510.696,1081.948,274.544,2062.059,255.917,182.426,46.01699829,1144.677979,97.8710022,1580.667969,6.502999783,76.02199554,896.1050415,1482.796997,338.1190186,192.1328,1738.9707,9.050878871
2016,2,"ACCEL, S.A.B. DE C.V.",ACCEL,ACCEL,2000,311,4389.654,658.461,1176.253,335.941,2178.162,324.787,228.573,59.10699844,1152.055054,153.8600006,1659.057983,5.136000156,140.8249969,961.9450073,1505.197998,353.1429443,2041.2315,1737.0805,0.850996323
2016,3,"ACCEL, S.A.B. DE C.V.",ACCEL,ACCEL,2000,311,4689.608,722.543,1308.806,320.654,2321.658,370.374,287.126,133.1929932,1271.141968,167.3529968,1786.567017,5.547999859,133.223999,977.0449829,1619.213989,348.0720215,1502.6975,1737.0805,1.155974839
2016,4,"ACCEL, S.A.B. DE C.V.",ACCEL,ACCEL,2000,311,4872.107,696.026,1195.578,392.386,2492.788,272.291,241.072,96.73300171,1286.588013,180.1640015,1852.453979,-0.207000002,204.5189972,1021.565002,1672.290039,385.7020264,1077.6105,1795.5277,1.666212143
2017,1,"ACCEL, S.A.B. DE C.V.",ACCEL,ACCEL,2000,311,4840.985,617.361,1302.231,364.819,2417.291,333.132,225.572,112.6409988,1242.626953,161.9859924,1761.264038,12.83399963,208.6779938,1148.302002,1599.278076,356.651123,1002.4284,1927.8297,1.923159499
2017,2,"ACCEL, S.A.B. DE C.V.",ACCEL,ACCEL,2000,311,4610.392,658.036,1090.522,330.415,2375.069,308.998,177.974,48.81800079,1151.072021,143.6100006,1656.542969,9.449999809,193.3320007,966.9179688,1512.932983,361.8609619,258.9616,1937.2799,7.480954319
2017,3,"ACCEL, S.A.B. DE C.V.",ACCEL,ACCEL,2000,311,4722.105,644.515,1149.941,304.959,2358.803,326.798,225.902,60.97200012,1181.968994,126.5139999,1652.213013,4.071000099,189.2319946,1029.585938,1525.698975,343.7299805,2553.4295,1948.6201,0.763138399
2017,4,"ACCEL, S.A.B. DE C.V.",ACCEL,ACCEL,2000,311,4910.916,664.195,994.999,336.044,2547.583,280.48,202.636,82.0039978,1243.665039,198.177002,1767.182983,-7.145999908,203.8159943,1025.401001,1569.005981,325.3409424,1786.2253,1946.7301,1.089856974
2007,2,"ALFA, S.A.B. DE C.V.",ALFA,ALFA,2860,325110,94388.327,11081.145,30376.627,16434.06,47835.029,14190.634,8712.943,,,,,,16434.06055,17486.16602,,,92835.981,47577.723,0.512492274
2007,3,"ALFA, S.A.B. DE C.V.",ALFA,ALFA,2860,325110,96574.863,11700.367,31847.746,15802.235,49159.239,14193.857,8619.45,,24081.97656,1845.609009,29128.04492,747.8400269,15802.23535,16527.70703,27282.43555,3200.458984,33759.841,41449.864,1.227786114
2007,4,"ALFA, S.A.B. DE C.V.",ALFA,ALFA,2860,325110,99330.505,13026.203,24016.453,24549.671,50996.584,14907.238,8534.626,,23239.35352,1689.793945,28356.67188,587.7009888,24549.66992,15954.19336,26666.87891,3427.525391,5993.02,39657.438,6.617271092
2008,1,"ALFA, S.A.B. DE C.V.",ALFA,ALFA,2860,325110,101015.603,13567.433,24672.579,24709.125,51080.171,14463.184,9077.551,,24761.81055,1702.552002,29710.08008,595.3649902,24709.125,16456.1875,28007.52734,3245.716797,8384.401,39775.066,4.743936508
2008,2,"ALFA, S.A.B. DE C.V.",ALFA,ALFA,2860,325110,100476.166,13258.377,24463.267,24401.063,50554.542,14117.876,8958.674,,25103.61133,1761.495972,30234.71875,677.34198,24401.0625,17030.75586,28473.22266,3369.611328,161193.34,41298.628,0.256205548
2008,3,"ALFA, S.A.B. DE C.V.",ALFA,ALFA,2860,325110,103882.735,13766.544,29531.207,26122.352,50509.574,14900.858,10089.25,1204.416992,24465.39648,1431.453003,29124.91797,746.8189697,26122.35156,17415.9668,27693.46484,3228.068359,77104.702,27547.356,0.357272064
2008,4,"ALFA, S.A.B. DE C.V.",ALFA,ALFA,2860,325110,110970.008,13281.031,38746.119,30547.057,54532.28,13686.417,7209.862,,22487.8418,945.0650024,27120.7207,1042.630005,30547.05664,17385.48633,26175.65625,3687.814453,40038.328,16530.327,0.41286257
2009,1,"ALFA, S.A.B. DE C.V.",ALFA,ALFA,2860,325110,109456.031,12346.393,35284.463,34433.202,54269.808,12510.655,8621.918,701.6170044,21454.80859,1706.501953,26580.55273,1409.051025,34433.20313,17731.99023,24874.05078,3419.242188,45309.183,12278.872,0.271001841
2009,2,"ALFA, S.A.B. DE C.V.",ALFA,ALFA,2860,325110,104681.618,10969.544,35910.007,29316.754,52997.813,12013.951,10923.557,,22329.98438,2299.354004,28084.40234,936.7160034,29316.75391,17341.73047,25785.04883,3455.064453,9967.141,20658.713,2.072681926
2009,3,"ALFA, S.A.B. DE C.V.",ALFA,ALFA,2860,325110,110689.822,11337.391,30384.074,34869.666,56158.886,13599.772,11664.336,,23872.375,2378.676025,29917.36328,1324.839966,34869.66797,18939.66016,27538.6875,3666.3125,154946.33,36495.381,0.235535627
2009,4,"ALFA, S.A.B. DE C.V.",ALFA,ALFA,2860,325110,108088.671,11254.002,26377.794,37243.894,54732.988,14532.48,11486.499,,24569.53516,2377.775879,31049.71094,795.2089844,37243.89063,17738.80078,28671.93555,4102.400391,79561.619,46665.308,0.586530397
2010,1,"ALFA, S.A.B. DE C.V.",ALFA,ALFA,2860,325110,103094.092,11857.87,25615.557,35385.284,51898.521,14231.805,8694.183,501.7810059,26132.90234,2335.590088,32287.38086,964.3369751,35385.28516,18212.45898,29951.79102,3818.888672,95463.947,52568.767,0.55066618
2010,2,"ALFA, S.A.B. DE C.V.",ALFA,ALFA,2860,325110,102631.686,12071.495,27690.637,33176.435,51163.514,14668.601,8749.18,673.3369751,27070.4043,2792.050049,33655.66797,925.0650024,33176.43359,19036.41406,30863.61719,3793.212891,47577.723,52239.504,1.097982432
2010,3,"ALFA, S.A.B. DE C.V.",ALFA,ALFA,2860,325110,113130.973,13584.614,28050.914,40847.591,52241.052,14797.715,8935.17,850.539978,27522.17773,2764.386963,34207.91406,1070.503052,40847.59375,19820.5332,31443.52734,3921.349609,9061.037,52298.84,5.771838256
2010,4,"ALFA, S.A.B. DE C.V.",ALFA,ALFA,2860,325110,112254.679,14653.346,28256.722,39741.92,52096.316,15847.682,8495.221,1461.527954,29422.3457,2866.12793,36243.60938,842.2960205,39741.91797,18079.5625,33377.48047,3955.134766,131596.85,66524.145,0.505514722
2011,1,"ALFA, S.A.B. DE C.V.",ALFA,ALFA,2860,325110,125085.582,15949.511,33598.269,45209.45,56127.961,19181.858,8794.905,1319.168945,34600.89453,3500.310059,42233.02734,775.3480225,45209.44922,23887.45703,38732.71875,4131.824219,140301.7,82695.805,0.589414134
2011,2,"ALFA, S.A.B. DE C.V.",ALFA,ALFA,2860,325110,125061.388,18398.435,34402.612,43788.548,55816.148,20771.732,6651.882,1069.738037,36549.67188,3771.5979,44257.42188,854.1539917,43788.55078,23804.04492,40485.82422,3936.152344,110231.611,92835.981,0.842190186
2011,3,"ALFA, S.A.B. DE C.V.",ALFA,ALFA,2860,325110,139857.9,20139.114,40077.343,51773.904,61610.468,22367.824,11256.015,1328.589966,39367.90234,3950.858887,47922.98047,1048.863037,51773.90625,25554.5332,43972.12109,4604.21875,41449.864,77104.702,1.860191918
2011,4,"ALFA, S.A.B. DE C.V.",ALFA,ALFA,2860,325110,138561.594,20576.81,35776.067,54099.522,63261.664,20254.02,9031.343,2482.137939,40042.95703,3551.753906,48349.98828,1136.042969,54099.52344,24342.32422,44798.23438,4755.277344,9843.581,79561.619,8.082588948
2012,1,"ALFA, S.A.B. DE C.V.",ALFA,ALFA,2860,325110,145208.813,20335.126,36855.176,61075.073,71819.313,20505.128,8578.737,1426.26001,40672.00391,4173.796875,49611.60156,894.0009766,48975.76953,23909.4082,45437.80469,4765.800781,9084.572,95463.947,10.50835934
2012,2,"ALFA, S.A.B. DE C.V.",ALFA,ALFA,2860,325110,161613.387,21931.293,36461.514,64429.752,74473.587,20954.934,14811.855,1746.85498,42260.75391,4562.116211,51568.30859,138.7400055,51752.43359,26015.91602,47006.19141,4745.4375,132211.31,110231.611,0.833753262
