Anio,Trimestre,anio_trim,Empresa,NombreCorto,NombreLargo,SIC,NAICS,Activos,Inventarios,PasivoCirc,PasivoLP,PPE,CPP,Efectivo,GC,CBV,UOAD,Ventas,IGR,Deuda,CPC,GO,GVGA,Precio_Accion,mkt_capital,No_Acciones,num_acciones,precio_acciones,capitalización,activos_totales,tasa_activos_trimtrim,tasa_activos_trimanual,pasivos_totales,capital_ppe,tasa_capital_trimtrim,tasa_capital_trimanual
2009,4,2009-4,EL PUERTO DE LIVERPOOL S.A.B DE C.V.,LIVERPOOL,EL PUERTO DE LIVERPOOL,5311,452111,59168.045,6135.802,13649.452,8171.456,26743.007,6147.245,6510.779,,8964.691406,3169.25293,15721.69727,319.276001,8171.456055,17657.4375,12552.44434,3587.75293,139963.11,80235.6,0.573262483,"1,342,196,100",65,87242746500.00,"59,168,045,000.00",13.87,13.03,"21,820,908,000.00","26,743,007,000.00",2.84,3.354644386
2010,1,2010-1,EL PUERTO DE LIVERPOOL S.A.B DE C.V.,LIVERPOOL,EL PUERTO DE LIVERPOOL,5311,452111,57372.04,7014.51,11948.217,8171.456,26803.774,5433.031,3840.08,313.6000061,5978.680176,660.3530273,9781.529297,184.8820038,8171.456055,16736.97461,9121.175781,3142.495605,142116.8,91091.41,0.640961589,"1,342,196,100",66.5,89256040650.00,"57,372,040,000.00",-3.04,14.06,"20,119,673,000.00","26,803,774,000.00",0.23,2.259357999
2010,2,2010-2,EL PUERTO DE LIVERPOOL S.A.B DE C.V.,LIVERPOOL,EL PUERTO DE LIVERPOOL,5311,452111,61820.225,7150.991,11879.772,11171.456,27251.06,5824.938,4393.093,695.4959717,7624.040039,1916.668945,13008.60645,219.8820038,11171.45605,18271.41992,11091.9375,3467.897461,80800.21,87301.98,1.080467241,"1,342,196,100",65.6,88048064160.00,"61,820,225,000.00",7.75,20.19,"23,051,228,000.00","27,251,060,000.00",1.67,3.91150394
2010,3,2010-3,EL PUERTO DE LIVERPOOL S.A.B DE C.V.,LIVERPOOL,EL PUERTO DE LIVERPOOL,5311,452111,63075.552,8405.325,12192.993,11171.456,27847.307,6071.339,4189.859,844.5599976,6669.833008,1230.521973,11311.11621,248.996994,11171.45605,17869.14648,10080.59375,3410.760742,14093.06,91999.45,6.527996759,"1,342,196,100",70.99,95282501139.00,"63,075,552,000.00",2.03,21.39,"23,364,449,000.00","27,847,307,000.00",2.19,7.083009009
2010,4,2010-4,EL PUERTO DE LIVERPOOL S.A.B DE C.V.,LIVERPOOL,EL PUERTO DE LIVERPOOL,5311,452111,68277.57,8028.167,17368.97,8921.456,28469.868,7453.359,6604.564,886.1939697,10150.6582,3726.333008,18161.10156,245.0169983,8921.456055,20507.17383,14434.76855,4284.110352,219556.57,115064.79,0.5240781,"1,342,196,100",84,112744472400.00,"68,277,570,000.00",8.25,15.40,"26,290,426,000.00","28,469,868,000.00",2.24,6.457243196
2011,1,2011-1,EL PUERTO DE LIVERPOOL S.A.B DE C.V.,LIVERPOOL,EL PUERTO DE LIVERPOOL,5311,452111,65042.546,8873.997,13967.672,8921.456,29157.926,5937.938,3720.31,951.6879883,6551.854004,1179.141968,11236.22266,226.2819977,8921.456055,18241.82422,10057.08105,3505.227051,216593.77,118245.37,0.545931538,"1,342,196,100",87.98,118086412878.00,"65,042,546,000.00",-4.74,13.37,"22,889,128,000.00","29,157,926,000.00",2.42,8.782912436
2011,2,2011-2,EL PUERTO DE LIVERPOOL S.A.B DE C.V.,LIVERPOOL,EL PUERTO DE LIVERPOOL,5311,452111,66577.694,9120.497,13607.66,8921.456,29979.473,6410.738,1982.787,1090.409058,8394.894531,2340.072021,14504.80762,207.8990021,8921.456055,20514.26172,12164.73535,3769.84082,149236.5,119607.49,0.801462712,"1,342,196,100",94.96,127454941656.00,"66,577,694,000.00",2.36,7.70,"22,529,116,000.00","29,979,473,000.00",2.82,10.01213531
2011,3,2011-3,EL PUERTO DE LIVERPOOL S.A.B DE C.V.,LIVERPOOL,EL PUERTO DE LIVERPOOL,5311,452111,68093.899,10982.901,13941.914,8921.456,31072.18,7307.286,851.148,1355.833008,7261.836914,1372.097046,12466.62695,194.7480011,8921.456055,20100.20898,11094.53027,3832.693359,82645.71,120174.74,1.454095318,"1,342,196,100",91.1,122274064710.00,"68,093,899,000.00",2.28,7.96,"22,863,370,000.00","31,072,180,000.00",3.64,11.58055607
2011,4,2011-4,EL PUERTO DE LIVERPOOL S.A.B DE C.V.,LIVERPOOL,EL PUERTO DE LIVERPOOL,5311,452111,73023.059,10109.023,16599.863,8921.456,22319.405,9583.759,2565.514,1752.822021,12724.18945,4123.678223,20440.77734,204.5780029,8921.456055,17760.38477,16317.09961,3592.910156,16836.69,139963.11,8.31298254,"1,342,196,100",99.07,132971367627.00,"73,023,059,000.00",7.24,6.95,"25,521,319,000.00","22,319,405,000.00",-28.17,-21.60341242
2012,1,2012-1,EL PUERTO DE LIVERPOOL S.A.B DE C.V.,LIVERPOOL,EL PUERTO DE LIVERPOOL,5311,452111,75697.98,11060.503,15105.197,17249.587,23092.035,8145.21,671.16,1267.508057,7686.716797,1217.265991,12638.19824,187.3130035,12921.45605,16054.11816,11420.93262,3734.21582,14093.06,142116.8,10.08416909,"1,342,196,100",103.24,138568325364.00,"75,697,980,000.00",3.66,16.38,"32,354,784,000.00","23,092,035,000.00",3.46,-20.80357499
2012,2,2012-2,EL PUERTO DE LIVERPOOL S.A.B DE C.V.,LIVERPOOL,EL PUERTO DE LIVERPOOL,5311,452111,78186.019,10917.652,15541.102,17519.148,24408.871,8742.641,659.867,2363.976074,9840.688477,2603.830078,16396.67383,261.7160034,12921.45605,16698.44336,13792.84375,3952.155273,199866.38,149236.5,0.746681358,"1,342,196,100",104.06,139668926166.00,"78,186,019,000.00",3.29,17.44,"33,060,250,000.00","24,408,871,000.00",5.70,-18.58138734
2012,3,2012-3,EL PUERTO DE LIVERPOOL S.A.B DE C.V.,LIVERPOOL,EL PUERTO DE LIVERPOOL,5311,452111,79691.78,11854.175,15625.539,17612.448,25422.87,8634.58,807.315,1897.258057,8548.036133,1800.720947,14436.2832,257.1090088,12921.45605,16930.52734,12635.5625,4087.526367,150667.55,150667.55,1,"1,342,196,100",117.35,157506712335.00,"79,691,780,000.00",1.93,17.03,"33,237,987,000.00","25,422,870,000.00",4.15,-18.18124766
2012,4,2012-4,EL PUERTO DE LIVERPOOL S.A.B DE C.V.,LIVERPOOL,EL PUERTO DE LIVERPOOL,5311,452111,85109.854,10558.247,17716.448,17863.696,26490.563,10288.069,699.337,2182.456055,13451.16699,4684.257813,22775.34961,270.7000122,12921.45605,19879.55664,18091.0918,4639.924805,81696.26,181297.17,2.219161195,"1,342,196,100",140.91,189128852451.00,"85,109,854,000.00",6.80,16.55,"35,580,144,000.00","26,490,563,000.00",4.20,18.68848206
2013,1,2013-1,EL PUERTO DE LIVERPOOL S.A.B DE C.V.,LIVERPOOL,EL PUERTO DE LIVERPOOL,5311,452111,85057.44,11703.756,17559.305,17976.06,26910.505,9700.146,918.579,892.0499878,8473.509766,1272.729004,14100.11035,244.8339996,12921.45605,18997.7207,12827.38086,4353.871094,80531.77,200591.8,2.490840571,"1,342,196,100",153.55,206094211155.00,"85,057,440,000.00",-0.06,12.36,"35,535,365,000.00","26,910,505,000.00",1.59,16.53587482
2013,2,2013-2,EL PUERTO DE LIVERPOOL S.A.B DE C.V.,LIVERPOOL,EL PUERTO DE LIVERPOOL,5311,452111,87154.651,11023.481,17647.16,18110.695,27501.258,9931.951,916.226,1430.69397,10805.73535,2628.587891,18094.01953,257.8439941,12921.45605,20269.82227,15465.43164,4659.696289,14152.29,204104.63,14.42202145,"1,342,196,100",147.35,197772595335.00,"87,154,651,000.00",2.47,11.47,"35,757,855,000.00","27,501,258,000.00",2.20,12.66911116
2013,3,2013-3,EL PUERTO DE LIVERPOOL S.A.B DE C.V.,LIVERPOOL,EL PUERTO DE LIVERPOOL,5311,452111,90716.703,13180.26,19836.394,18239.238,28103.431,9904.474,307.51,1519.489014,9366.367188,1802.301025,15790.27344,258.9869995,12921.45605,20470.33203,13987.97266,4621.605469,218022.8,200895.03,0.921440464,"1,342,196,100",140.91,189128852451.00,"90,716,703,000.00",4.09,13.83,"38,075,632,000.00","28,103,431,000.00",2.19,10.54389611
2013,4,2013-4,EL PUERTO DE LIVERPOOL S.A.B DE C.V.,LIVERPOOL,EL PUERTO DE LIVERPOOL,5311,452111,94581.445,11421.969,25626.471,14127.642,29054.263,11454.374,603.3,2113.759033,15488.75781,5132.463867,26121.04102,286.4989929,8921.456055,23891.43555,20988.57813,5499.820313,181297.17,200001.04,1.103166917,"1,342,196,100",140.32,188336956752.00,"94,581,445,000.00",4.26,11.13,"39,754,113,000.00","29,054,263,000.00",3.38,9.67778601
2014,1,2014-1,EL PUERTO DE LIVERPOOL S.A.B DE C.V.,LIVERPOOL,EL PUERTO DE LIVERPOOL,5311,452111,93078.291,13113.435,23025.53,14219.828,29366.196,9335.562,388.148,1080.107056,8969.545898,1368.854004,15279.48047,241.947998,8921.456055,21389.59766,13910.62695,4941.081055,200591.8,186766.87,0.931079286,"1,342,196,100",134.73,180834080553.00,"93,078,291,000.00",-1.59,9.43,"37,245,358,000.00","29,366,196,000.00",1.07,9.12539917
2014,2,2014-2,EL PUERTO DE LIVERPOOL S.A.B DE C.V.,LIVERPOOL,EL PUERTO DE LIVERPOOL,5311,452111,94824.271,12730.921,22804.248,14460.927,29589.636,10314.813,436.878,1074.494019,11856.19043,2450.670898,19626.12891,263.6849976,8921.456055,21235,17175.45703,5319.266602,79055.35,208910.7,2.642587757,"1,342,196,100",147.16,197517578076.00,"94,824,271,000.00",1.88,8.80,"37,265,175,000.00","29,589,636,000.00",0.76,7.593754438
2014,3,2014-3,EL PUERTO DE LIVERPOOL S.A.B DE C.V.,LIVERPOOL,EL PUERTO DE LIVERPOOL,5311,452111,95908.991,14088.824,22545.559,14566.108,29701.591,10419.322,333.712,781.1870117,10339.04004,1777.902954,17410.0293,261.1319885,8921.456055,20779.5332,15632.12598,5293.085938,15474.74,206899.6,13.37015032,"1,342,196,100",157.99,212053561839.00,"95,908,991,000.00",1.14,5.72,"37,111,667,000.00","29,701,591,000.00",0.38,5.68670779
2014,4,2014-4,EL PUERTO DE LIVERPOOL S.A.B DE C.V.,LIVERPOOL,EL PUERTO DE LIVERPOOL,5311,452111,103438.257,11754.464,23520.845,17250.991,30390.283,12949.987,569.665,1409.156982,17029.18555,5515.87793,28711.5918,389.8330078,13343.87598,22867.41211,23195.71484,6166.529297,170841.6,204339.16,1.19607379,"1,342,196,100",153.57,206121055077.00,"103,438,257,000.00",7.85,9.36,"40,771,836,000.00","30,390,283,000.00",2.32,4.598361349
2015,1,2015-1,EL PUERTO DE LIVERPOOL S.A.B DE C.V.,LIVERPOOL,EL PUERTO DE LIVERPOOL,5311,452111,101084.4,13562.995,20979.91,17144.855,30545.364,10594.592,282.195,627.7249756,9718.489258,1663.702026,16963.13867,233.4369965,13500.86621,20358.61328,15299.43652,5580.947266,181295.2,241024.9,1.329461012,"1,342,196,100",168.53,226200308733.00,"101,084,400,000.00",-2.28,8.60,"38,124,765,000.00","30,545,364,000.00",0.51,4.015392392
2015,2,2015-2,EL PUERTO DE LIVERPOOL S.A.B DE C.V.,LIVERPOOL,EL PUERTO DE LIVERPOOL,5311,452111,104402.678,13120.781,21595.671,17951.445,31064.514,11744.934,422.711,1032.305054,13053.15625,2815.461914,22085.49219,244.1329956,13627.07617,21606.29297,19270.03125,6216.875,204104.63,246478.37,1.207607931,"1,342,196,100",188.6,253138184460.00,"104,402,678,000.00",3.28,10.10,"39,547,116,000.00","31,064,514,000.00",1.70,4.984441174
