C,G,I,XN,Y
10524.32222,1893.48802,3504.430775,-364.864277,15526.01533
10823.45958,1980.505603,3830.95213,-186.360877,16139.53951
10406.20028,1950.898789,3674.933236,-80.116173,15619.75273
10474.01453,1998.162943,3736.601234,-29.037666,16027.46537
10644.92856,1935.792484,3670.776641,-248.399739,15952.81126
11004.87231,2009.9703,3878.925873,-230.702307,16638.86524
10466.35746,1936.407218,3501.40498,-168.301951,15719.78708
10748.02638,1976.41217,3761.30572,-240.005371,16361.86381
10842.25222,1965.438266,3611.111727,-271.238639,16186.10868
11220.36769,2059.402014,3771.337914,-71.529496,16840.98875
10664.17226,2002.171321,3513.005578,-176.131924,16162.06794
10958.14013,2019.507457,3610.707992,-140.522815,16743.44454
11102.65953,2027.613052,3660.15861,-239.404536,16649.89622
11481.90414,2095.790002,4086.531787,-23.095457,17408.79132
10968.7157,2081.486836,3813.384016,60.753788,16710.22739
11132.06657,2077.510658,3841.203927,91.037692,17261.23133
11410.49771,2029.678422,3925.476203,-280.845725,17331.65227
11884.48154,2111.312052,3964.612998,59.142837,17866.32159
11377.09719,2081.15086,3845.605981,61.528216,17166.31758
11561.1124,2141.503687,3911.711555,18.225913,17780.95855
11832.57831,2104.944782,3849.839801,-99.214214,17625.59207
12286.18251,2188.035504,4021.113687,119.922325,18416.08874
11828.19373,2136.738779,3867.470334,135.48237,17757.94829
11972.68406,2142.399296,3794.827171,-22.725753,18085.55124
12200.71987,2088.015544,3846.222903,-459.06089,17900.79179
12555.40805,2205.126805,3929.089956,-85.178969,18744.75395
12109.32621,2203.53288,3892.673395,-87.252657,18017.10513
12393.18716,2258.463767,3907.530463,89.393382,18667.77309
12532.52805,2142.474593,3880.603328,-357.552166,18405.26277
12751.17299,2212.694631,3830.695815,-212.515906,18990.03307
12250.54443,2195.275145,3791.752058,-61.278156,18275.21425
12382.34286,2195.6368,3600.444446,353.409171,18496.70438
12626.86634,2107.157856,3615.525402,-206.499412,18398.056
