ingreso,gasto
28.08417,26.25641
78.42814,73.19456
46.50545,38.68951
72.19850,54.13504
16.00236,19.29951
69.10535,47.84733
66.04851,23.06543
41.80836,18.99380
18.06624,14.25030
54.17269,71.72311
41.54754,41.47350
83.32550,55.45654
38.21661,25.63176
12.96195,15.78052
32.62278,31.71767
37.11753,24.66841
64.54309,43.91884
64.97229,75.49428
21.47545,25.99001
57.39390,28.00615
31.77346,29.49447
17.30225,28.03536
140.39336,62.25091
67.68202,17.10513
29.11029,16.56812
14.64433,14.89552
20.85909,9.16498
32.90058,34.94641
98.95761,57.07372
71.14531,36.74065
48.42506,35.12628
37.51513,22.93141
42.14908,33.61770
23.45106,9.29272
31.05737,23.32790
61.48169,31.04268
50.64095,44.95930
12.12359,15.10108
118.08363,56.86365
55.26001,26.76731
31.53958,12.01252
73.71091,68.05148
105.38696,62.46053
50.09878,43.42018
10.21379,4.06940
51.81146,13.32495
87.97303,53.02325
127.82099,123.79091
61.63737,20.98385
63.08356,25.47606
11.73934,13.06383
112.90783,48.77400
29.68995,25.54679
25.55878,49.25000
10.47116,9.75326
43.40698,19.05329
26.30868,5.83849
43.16304,46.68017
13.80324,7.91003
49.58356,48.50551
54.11543,42.46174
87.54098,38.80911
221.62761,110.93414
63.49179,36.05756
151.30062,78.91073
266.57605,104.49711
20.32258,17.94799
39.61859,6.22775
34.15892,14.36750
73.71512,30.65546
18.14915,19.79896
36.31597,39.16461
18.19564,22.32701
17.00555,6.28930
42.45806,41.96103
65.15867,46.76456
88.76187,10.87717
33.24517,29.26899
49.05737,35.22570
37.53155,38.72120
68.01423,35.59138
53.16844,57.11573
16.72381,16.49494
71.76172,44.17381
36.59607,36.29928
63.84064,33.92953
163.57375,141.68856
52.68859,43.74958
115.73248,66.60300
32.27248,29.49071
60.62395,22.46358
83.34781,70.14776
36.54118,22.45906
32.09053,38.58924
275.57605,85.22291
37.29224,25.98220
32.60763,16.29165
62.46668,28.85985
67.27655,59.76256
29.72650,16.09937
57.75727,43.40305
47.91975,60.02571
22.37703,10.67890
22.03276,12.99139
18.69654,12.10897
31.27385,9.69775
67.95754,32.84346
24.12111,19.24935
21.91354,17.88819
33.62770,30.23786
25.75536,24.30364
107.62618,91.33422
141.98621,50.76415
17.83884,16.28717
26.48852,16.83011
75.25082,47.97363
51.05155,27.40175
76.27612,36.92445
79.41478,44.29300
51.93337,28.63984
55.32527,27.94226
40.67421,19.37267
113.42259,81.60762
49.07734,27.76069
129.10472,46.48970
32.32497,59.53480
51.01836,40.34558
122.24221,88.14000
22.11247,16.76862
113.82014,68.53387
57.85149,25.77134
22.17587,28.13731
142.51864,81.96174
43.05944,19.82878
46.49565,32.56963
16.19359,34.57497
85.27782,51.89957
56.94974,43.48237
49.25310,44.32224
37.29830,19.66457
69.63933,44.78945
56.49455,22.77124
56.46541,22.21323
40.48309,24.10203
95.68715,58.13808
21.72015,20.28896
22.07081,17.19446
86.54995,82.51980
37.70294,18.52976
47.18010,39.38193
13.06500,30.69448
128.13932,28.39097
40.21647,22.70119
57.63790,36.96676
33.91286,17.63572
26.26817,16.94501
20.42754,32.64642
48.42415,35.59672
40.65682,21.05658
49.36144,18.70911
50.96334,16.36180
39.34042,17.86249
41.52652,23.91535
58.66990,31.92713
67.93036,21.76397
39.28413,13.21911
38.64440,31.38623
32.68886,19.23518
70.10824,38.01259
54.45295,53.81107
67.73530,24.02945
38.92855,16.22937
48.94299,70.54101
96.30885,7.83463
19.50209,16.73560
72.01709,62.88624
34.74776,15.59509
101.29893,116.98495
38.05934,8.18152
389.02740,72.69978
71.40547,46.22891
124.26150,105.94226
77.55820,52.29166
99.85046,60.64719
74.32791,44.58165
13.82793,14.82698
106.54441,35.96943
130.62537,98.06427
47.52701,18.39509
47.97701,27.62083
137.93478,71.59286
35.44291,8.39665
22.80933,19.37398
34.81305,26.26740
18.15664,4.04581
57.22034,11.00501
38.69432,40.97282
41.32120,27.41254
57.00275,27.79612
131.31144,75.61284
18.32984,19.51219
33.34418,23.76848
96.36892,101.90047
55.65178,26.34896
49.84237,52.62097
38.92494,61.91671
35.42888,20.30806
50.81490,20.97795
52.14335,39.96957
36.84677,18.31861
62.93433,26.28444
57.71471,14.82614
29.33533,15.27425
94.76505,41.37399
64.58740,31.27801
42.35985,18.64159
43.61723,24.74569
20.48036,7.01911
63.86400,29.03736
66.64319,39.39010
228.17364,78.82178
145.52308,61.76969
49.93902,39.15074
98.59473,40.80958
63.72833,32.13604
21.72811,14.38353
46.86751,22.56768
83.59393,37.87549
45.54348,26.59451
17.87969,22.41662
12.49726,16.39937
43.35218,22.62275
11.39672,13.86821
119.36695,60.81156
24.04445,11.64438
34.13969,18.08667
177.07261,163.31770
35.82108,24.28019
58.24280,18.93358
65.94529,25.69651
21.21042,3.89052
39.08427,23.94132
63.26046,22.83197
31.15747,16.61596
22.53543,41.80531
41.58620,17.99550
9.53281,5.41315
34.22103,24.73554
37.91291,32.64929
36.88325,38.80393
65.82081,23.62559
30.19904,21.62274
51.19773,26.19814
45.32521,39.73288
29.34782,28.69174
41.69283,40.25413
27.88897,24.79956
33.72213,11.31283
31.60288,24.68093
49.79501,24.07589
50.41835,35.47789
32.34418,20.09756
33.10738,13.66506
20.20678,15.28697
23.20325,13.79499
20.49341,19.13295
52.93721,26.18592
131.57607,169.00093
26.78081,9.93013
20.60215,12.75571
24.31135,13.48033
71.06820,26.23269
49.15592,7.86923
21.30338,22.01730
77.01427,66.08972
73.08264,54.35149
45.54714,15.10218
25.34309,17.20783
91.05200,63.18019
34.06995,33.60809
74.83752,10.05083
64.43708,10.00360
29.56721,22.21862
17.01988,24.27922
42.22753,24.99857
13.17713,18.12598
38.55895,33.06638
23.05536,27.38199
18.62357,23.74914
17.91862,19.06118
18.52392,15.86103
92.68855,40.03457
25.66688,15.97408
15.65493,4.51592
22.98769,13.13482
49.43489,28.80083
16.38757,13.90366
65.02373,38.72160
207.35823,44.37676
26.47372,29.23370
24.08400,52.77952
121.15732,60.65636
111.73908,35.16939
35.47598,59.54702
100.87918,73.80752
109.80597,44.08572
101.07321,33.87804
32.18617,41.75315
21.38942,25.99241
98.52805,34.70839
303.54605,315.76214
86.90742,26.60302
63.57431,20.77433
22.01085,28.32330
78.32513,42.55293
103.52938,131.91659
16.48344,4.86908
179.56469,217.62180
49.84844,28.48725
48.23533,21.22541
32.82898,14.89094
77.39496,24.46861
29.42950,19.80215
84.39260,50.77021
37.00914,34.08397
36.70132,36.23428
72.23980,29.07787
78.64668,69.33392
54.44255,13.15312
70.88601,24.53958
45.62072,24.04876
25.43033,28.07374
27.07867,14.96417
17.49763,32.79489
93.46520,45.11993
36.39322,24.14639
16.36716,9.14092
20.39655,22.81127
37.30724,84.33269
19.88672,24.97168
47.90767,24.06405
26.55027,40.02319
51.28457,26.68581
58.48447,35.97872
11.15132,4.14275
31.88064,24.74664
13.36476,9.43290
38.55521,52.75839
26.60526,17.53837
19.48623,18.21275
21.64456,16.78051
11.80327,19.09419
20.33606,24.09476
41.69098,15.23857
33.31968,14.62494
66.23550,31.20879
12.19766,4.58787
45.01830,22.71487
37.80326,17.83753
36.47569,18.49233
56.34072,51.47627
91.21025,87.28088
32.20755,41.53115
7.07275,14.54428
27.26527,16.25607
27.24447,22.22078
44.26604,29.40917
18.43712,6.24800
81.47490,25.86962
17.79315,43.11411
32.82567,26.16933
18.47996,6.82756
45.00983,39.92498
87.56892,33.54601
19.95214,16.70956
23.57255,16.25778
126.53013,55.80383
29.30995,18.80220
31.81946,33.57780
38.49296,20.64818
14.08695,16.33979
33.71843,15.31402
38.30548,20.22218
67.28061,44.94791
82.46306,83.36506
36.59998,23.30512
25.29103,4.41809
51.91016,48.29791
7.31864,156.86846
32.92595,11.73806
21.38288,8.24324
59.17637,14.73751
19.73709,11.50122
23.87453,40.55439
20.47247,21.91719
38.23172,34.97115
112.53086,50.84868
13.22872,13.41732
87.51175,55.62436
35.19286,32.69520
39.56458,40.31992
30.24875,13.62458
70.09562,28.14948
43.69293,40.61530
45.81144,42.17770
27.64091,10.61389
30.38488,12.76875
44.19896,27.69217
33.66562,16.53375
13.81181,16.73876
41.24089,20.41169
200.41399,86.82929
22.89618,17.99263
21.00926,23.77459
75.10080,65.76542
10.43684,8.28661
31.15917,26.61235
31.38949,38.87590
26.91459,34.88667
15.53339,15.40435
12.87142,42.79301
27.65864,45.45234
36.69093,32.21419
41.19832,17.66349
49.53177,29.63668
40.53131,37.15430
32.85487,29.03439
19.98484,7.74097
32.30592,27.00162
31.38889,21.86801
22.91813,16.60919
20.08869,15.02743
17.93055,12.65201
30.49939,27.41026
21.80136,9.22954
60.85077,25.25044
36.70528,35.41586
32.05385,10.61581
51.58864,19.31650
87.86683,10.67204
37.00428,22.04514
37.12421,26.87667
25.09393,23.10226
18.61896,23.19439
27.03250,11.41447
124.45969,35.82977
162.12294,109.61644
39.04547,17.79337
25.52373,18.54834
8.61354,8.79729
101.94849,39.74973
66.28060,13.65016
13.06362,11.05912
50.51664,52.54927
23.80448,8.07708
55.38847,24.59990
16.26767,12.39749
17.95376,33.98671
13.15838,7.64716
10.22222,17.30772
18.54630,10.56647
105.27974,27.94991
37.91862,31.28654
26.96683,9.90365
57.03342,41.70154
51.00658,32.61888
42.41911,12.19104
43.36937,29.24116
19.02742,8.25609
19.12619,9.34321
24.00916,11.21530
30.71514,11.09002
72.34392,89.34169
23.72675,11.91260
49.34618,41.67046
53.96795,30.93118
15.96041,21.20524
28.41866,23.04816
110.47755,57.23639
67.77601,22.35245
18.54105,17.33130
43.25156,15.35860
47.06535,19.12831
43.78691,19.31925
4.96072,4.02161
2.05434,6.52553
3.65308,2.08942
36.57631,28.13582
37.70226,16.22527
13.07733,39.69202
46.16988,19.29185
31.96880,17.82911
221.23364,105.14347
86.72771,89.19634
86.82064,70.15933
28.26419,19.75127
39.41221,25.76342
49.01413,26.29093
35.13089,22.61958
26.42097,19.54235
31.80857,12.23384
11.28886,11.95322
36.36569,22.79989
23.92930,17.32558
41.92412,12.85800
74.78613,28.72999
24.77812,12.81436
31.04661,13.11533
12.72133,2.61318
83.34936,53.23856
110.65074,60.14186
45.82653,16.74715
110.16503,31.91928
36.35995,49.95355
37.66450,22.39756
65.14868,30.13927
36.57552,26.95562
34.59010,17.39724
33.95669,15.51824
29.95533,20.46192
32.52710,22.16625
22.89476,25.82881
28.51010,33.42601
49.70071,34.10791
19.17390,18.24956
41.38097,20.21395
17.36269,7.67362
20.91031,22.16694
8.68948,16.66962
12.47282,8.35984
39.15453,40.73087
112.37700,102.14091
18.21639,23.60922
15.34214,5.84952
20.91638,20.25663
40.99906,26.56635
47.38202,16.03308
30.29403,25.35882
23.90268,14.65785
42.87272,20.93004
47.76496,12.58424
33.01516,23.25389
49.48673,31.49078
40.30477,20.78802
20.16447,17.01379
15.92180,17.63623
17.55977,24.72417
41.62460,15.91530
40.59935,17.50196
45.44284,23.91639
103.23718,33.05979
28.41788,8.35730
16.58283,18.78237
14.37382,24.72271
7.52508,17.67459
15.00090,9.45289
8.53181,12.80300
42.64519,24.44572
63.83307,40.52875
32.63049,23.61962
333.66779,80.85190
53.85470,45.11422
78.67364,55.25896
89.64588,34.16869
137.05342,91.27653
42.30980,26.90086
16.52458,16.93044
31.99519,15.03370
31.75146,12.17814
50.63939,32.85829
36.94176,23.08713
44.74120,18.54912
22.94673,29.20207
42.07830,40.79837
26.97238,22.42270
64.38059,33.15672
44.24299,28.43162
37.13802,11.04471
52.13605,8.85291
34.59548,56.87555
45.88342,81.55680
76.60861,14.42461
36.19670,18.08915
16.38688,6.85161
22.12621,23.84554
42.65162,24.56400
59.12665,39.86845
45.52748,16.76687
153.54827,72.85544
25.41438,7.07112
52.55048,17.84205
53.43081,44.29020
35.38796,30.96183
74.03314,45.56752
18.94311,11.93067
42.87033,40.87969
24.29990,22.75025
35.12089,19.96128
35.05924,5.16666
29.73623,11.54395
32.20440,17.77070
25.58177,5.64147
9.76630,24.25966
54.98805,31.64376
25.44056,7.34631
59.62817,26.59506
46.80904,33.26159
67.90003,91.09046
43.92785,11.00602
40.92062,18.97270
34.01746,24.61488
50.29664,17.46643
36.74534,51.81543
17.66553,16.91776
20.71589,5.87293
52.04647,33.65729
40.17879,25.39200
24.06989,13.40925
85.84237,38.35793
31.40621,73.96329
38.03342,43.14115
41.12060,15.13408
27.24178,12.76550
60.18615,40.85807
56.73930,35.38239
32.01638,27.75745
52.57374,22.79534
82.14711,28.90389
46.42810,40.05788
32.48779,31.42925
48.67905,38.23684
33.84392,35.71271
19.41242,11.96551
18.12382,30.46495
113.07381,67.16670
20.44563,19.33552
35.52372,24.27736
73.99060,20.06365
20.00314,20.81101
18.78075,4.83802
30.84301,17.53002
34.15418,13.74512
16.88395,18.31915
39.49989,43.10934
30.09438,13.83655
57.00871,47.16145
32.05804,16.75399
11.17530,15.28524
60.57074,35.05034
14.51097,1.15999
32.62656,12.71019
29.70289,29.85450
15.64735,34.07583
14.88819,13.36787
38.45126,28.67098
70.07134,21.89816
16.84799,19.05548
26.84986,8.23951
28.30778,12.24878
28.50642,9.06177
114.40877,51.93496
189.96218,108.07443
99.70652,42.60326
252.98714,149.33686
247.01086,182.52580
28.49653,14.57120
32.99224,36.20805
17.34465,2.61977
26.62379,34.00643
50.92925,41.90243
20.33312,20.05734
25.82049,7.64393
18.28131,18.13788
45.27665,17.50500
6.24549,11.42406
31.73864,20.98401
57.37291,29.92257
26.64093,15.26578
44.30041,27.89825
17.21789,7.47226
17.14424,20.33032
29.56719,25.50942
20.91919,16.09171
14.13633,5.84047
23.29363,13.21928
28.55705,21.63824
29.42040,7.46256
58.17494,19.80543
8.49823,16.79202
97.61276,30.94498
58.79893,61.21640
54.34764,21.59572
55.21042,35.31293
38.09191,35.20943
16.14621,3.44572
19.82069,1.02851
17.01679,32.46784
42.00848,32.88382
20.93872,14.00588
39.64664,23.47340
5.47919,1.77517
39.12698,20.23551
20.44704,8.31846
74.64495,19.26117
23.10189,10.16348
34.42742,16.19709
5.81917,3.78450
127.59901,57.12456
717.11209,62.97069
47.42195,41.10744
46.31555,18.07341
93.63292,58.10445
35.91725,29.20145
19.07608,27.35477
18.98649,14.28204
193.83106,80.86492
17.58946,7.03086
243.68848,63.59751
147.91888,52.70222
41.77961,17.93491
75.28866,43.65118
62.22363,34.51958
162.10301,64.07208
48.34501,18.04140
57.87547,32.70073
23.47824,65.26200
63.57094,32.24715
71.58735,84.07732
81.22150,74.28657
72.01610,58.83786
65.69335,39.70031
63.30530,26.89014
9.25081,21.25697
84.89772,35.75610
91.10649,122.09362
46.89559,5.84038
52.93030,24.96845
87.57608,42.25947
33.94720,45.95646
21.97930,18.69043
57.22825,46.55376
120.96508,46.42901
9.09350,4.48185
13.20091,8.04922
21.45670,6.42688
13.69564,15.45488
59.27826,42.84050
10.80980,0.00000
39.85694,26.22048
22.13621,17.41983
65.90072,35.21636
74.77704,24.23822
14.79017,4.08692
34.97792,30.94807
31.82312,13.17120
40.76409,32.27586
27.27766,6.14201
33.57656,20.29682
30.05862,32.96056
46.60842,18.31827
20.67668,25.37820
15.70678,9.70754
17.37926,9.80662
28.79506,11.90239
46.06783,22.23585
5.05572,2.17407
24.76487,13.52024
43.75536,19.57436
67.80905,41.94198
44.66064,8.13565
40.13579,39.71813
24.29827,8.29089
14.26544,5.07114
43.48699,12.49444
30.13558,15.28761
91.01295,48.38848
70.26986,26.70335
36.27765,15.06238
41.53502,30.92111
60.25731,15.03100
33.32165,8.08813
33.35857,23.40008
30.89802,23.95640
9.50999,31.90747
49.65175,34.74803
36.09835,19.61520
13.86555,18.15462
19.75067,15.86998
26.90826,18.60188
36.76078,16.60185
58.54418,16.16046
24.81597,18.70161
113.46768,21.11638
46.84916,30.16239
132.96526,165.77135
26.36580,18.91395
27.33730,33.52747
33.01521,22.31506
27.11369,12.68164
27.90736,19.23681
19.64187,2.39285
28.29945,25.24489
23.57848,16.14442
32.62422,17.18457
34.31857,24.62322
11.32906,18.17668
17.68006,33.06300
62.43555,37.10630
52.49665,31.16694
44.90486,41.58367
20.95079,23.52054
27.23205,18.95854
18.68647,5.97843
56.51971,13.18288
42.39796,19.94269
166.76305,16.77430
57.46718,48.22935
58.83730,31.98713
59.97524,38.75373
6.63791,10.12133
24.69937,7.25174
128.15898,50.74272
120.71976,132.49132
52.75736,58.12022
9.07862,3.68185
44.81590,3.36035
22.16696,9.19699
36.40167,5.79237
16.73078,4.10746
18.95701,10.94679
34.07533,15.18437
63.26995,36.93419
24.80656,23.03514
33.94473,23.06697
31.17494,34.07199
21.64565,19.10860
17.45591,11.24711
42.59598,20.61831
45.06091,8.13780
21.31626,8.83337
47.23378,21.82084
44.58337,16.92441
15.19312,10.76482
18.94736,9.06242
51.08806,16.82435
30.32627,31.45354
51.77944,34.28843
85.66278,27.63554
34.53713,18.74472
41.99319,9.00865
17.34235,14.28152
31.39785,32.38351
38.03250,22.53433
29.86060,14.52432
21.45829,11.34815
55.65902,9.86442
35.31065,26.62316
28.47262,22.09689
22.59796,21.78041
24.68683,8.78267
30.85779,9.93996
45.04447,27.02350
54.71604,38.36153
24.31317,19.10014
30.13020,20.92245
27.68531,23.13448
43.91358,27.58920
32.72264,25.50634
43.18868,23.26033
18.61298,8.91205
77.42200,43.03049
15.72191,5.04263
31.45791,51.39376
20.31623,23.53010
20.78478,13.32735
54.51778,27.65683
29.26930,9.81531
35.87595,28.13120
18.63934,27.46288
59.83274,13.33559
43.47540,60.96012
6.37559,3.55121
34.07129,15.56578
34.13854,15.87744
23.78719,23.59884
28.28525,35.83694
49.18500,92.85497
51.71668,23.28192
44.48067,41.44381
42.91829,56.94099
42.12516,18.58612
55.10046,30.99660
33.43607,22.07988
48.29094,43.70805
46.19773,25.10075
115.81259,50.00054
55.40545,24.47641
12.11654,10.42095
42.00767,33.25905
31.09446,6.76218
21.79876,22.44614
60.07470,28.86015
77.65459,29.48629
40.26241,24.40352
42.02328,19.59248
29.40783,13.17294
34.64341,13.92317
40.00543,32.89108
28.02054,13.37608
60.56402,14.98150
31.89617,15.49320
8.50805,12.32852
22.90372,15.50156
24.53048,26.42909
27.42959,23.75516
32.08433,18.10473
15.29508,6.91231
14.67390,15.59176
13.53422,27.95956
137.46795,97.05090
67.30969,30.60926
14.03804,20.13574
56.86329,50.66472
52.60113,19.98425
107.17822,18.26730
24.06112,8.83912
22.93433,30.18882
122.22180,61.33538
95.09014,60.20347
102.24376,53.95595
20.05624,27.01486
11.80327,12.61397
16.57242,22.50838
12.92496,18.85378
22.29025,31.81744
60.01457,73.12098
